rank,product_type,lots,share_pct,cumulative_pct
1,книга,11706,2.556,2.56
2,картридж,7245,1.582,4.14
3,краска,7023,1.533,5.67
4,мыло,5479,1.196,6.87
5,фильтр,5274,1.152,8.02
6,средство моющий,5266,1.150,9.17
7,перчатка,4693,1.025,10.19
8,шина,4669,1.019,11.21
9,эмаль,4587,1.002,12.21
10,бензин,4529,0.989,13.20
11,бумага офисный,4434,0.968,14.17
12,ручка,4402,0.961,15.13
13,папка,3993,0.872,16.01
14,кисть,3684,0.804,16.81
15,кабель,3658,0.799,17.61
16,бумага,3655,0.798,18.41
17,клей,3644,0.796,19.20
18,скотч,3166,0.691,19.89
19,средство чистить,3161,0.690,20.58
20,скоросшиватель,2940,0.642,21.23
21,средство дезинфицировать,2899,0.633,21.86
22,порошок,2866,0.626,22.48
23,диск,2846,0.621,23.11
24,крупа,2744,0.599,23.70
25,труба,2732,0.597,24.30
26,масло моторный,2691,0.588,24.89
27,файл,2682,0.586,25.47
28,смеситель,2665,0.582,26.06
29,шланг,2554,0.558,26.61
30,лопата,2488,0.543,27.16
31,лампа светодиодный,2479,0.541,27.70
32,насос,2459,0.537,28.24
33,тетрадь,2442,0.533,28.77
34,пакет,2423,0.529,29.30
35,выключатель,2341,0.511,29.81
36,журнал,2305,0.503,30.31
37,ведро,2287,0.499,30.81
38,кран,2280,0.498,31.31
39,игрушка,2274,0.497,31.81
40,скоба,2230,0.487,32.29
41,валик,2172,0.474,32.77
42,карандаш,2120,0.463,33.23
43,аккумулятор,2119,0.463,33.69
44,щётка,1911,0.417,34.11
45,фотобумага,1897,0.414,34.52
46,полотенце,1873,0.409,34.93
47,тряпка,1871,0.409,35.34
48,салфетка,1868,0.408,35.75
49,костюм,1862,0.407,36.16
50,степлер,1852,0.404,36.56
51,принтер,1815,0.396,36.96
52,мешок,1805,0.394,37.35
53,жидкость,1798,0.393,37.74
54,замок,1754,0.383,38.13
55,ветошь,1751,0.382,38.51
56,хозяйственный,1721,0.376,38.88
57,ножницы,1713,0.374,39.26
58,светильник,1699,0.371,39.63
59,маркер,1673,0.365,39.99
60,лента,1637,0.357,40.35
61,веник,1636,0.357,40.71
62,флешка,1604,0.350,41.06
63,муфта,1576,0.344,41.40
64,мяч,1575,0.344,41.75
65,канцелярский,1550,0.338,42.09
66,регистр,1542,0.337,42.42
67,стикер,1533,0.335,42.76
68,батарейка,1492,0.326,43.08
69,уголь,1490,0.325,43.41
70,штрих,1485,0.324,43.73
71,подшипник,1443,0.315,44.05
72,компьютер,1435,0.313,44.36
73,зажим,1396,0.305,44.67
74,ноутбук,1357,0.296,44.96
75,кондиционер,1324,0.289,45.25
76,топливо,1297,0.283,45.53
77,розетка,1280,0.279,45.81
78,швабра,1268,0.277,46.09
79,известь,1248,0.273,46.36
80,блок,1241,0.271,46.63
81,вода,1235,0.270,46.90
82,отвод,1166,0.255,47.16
83,скрепка,1149,0.251,47.41
84,освежитель,1142,0.249,47.66
85,масло,1138,0.248,47.91
86,рамка,1131,0.247,48.15
87,молоко,1121,0.245,48.40
88,ремень,1080,0.236,48.64
89,шкаф,1064,0.232,48.87
90,удлинитель,1060,0.231,49.10
91,колер,1060,0.231,49.33
92,кресло,1040,0.227,49.56
93,калькулятор,1036,0.226,49.78
94,бланк,1023,0.223,50.01
95,ткань,1022,0.223,50.23
96,прожектор,1013,0.221,50.45
97,провод,1011,0.221,50.67
98,бинт,1004,0.219,50.89
99,губка,990,0.216,51.11
100,ежедневник,982,0.214,51.32
101,манипулятор,965,0.211,51.53
102,стол,964,0.210,51.74
103,дырокол,963,0.210,51.95
104,электрод,955,0.209,52.16
105,самореза,931,0.203,52.37
106,колодка,927,0.202,52.57
107,нож,923,0.202,52.77
108,макаронный,915,0.200,52.97
109,радиатор,902,0.197,53.17
110,контейнер,898,0.196,53.36
111,инструмент,886,0.193,53.56
112,реагент,871,0.190,53.75
113,доска,868,0.190,53.94
114,запасный,861,0.188,54.12
115,линейка,858,0.187,54.31
116,шпатель,853,0.186,54.50
117,счётчик,847,0.185,54.68
118,шприц,840,0.183,54.87
119,продукт,833,0.182,55.05
120,наконечник,831,0.181,55.23
121,стакан,816,0.178,55.41
122,устройство многофункциональный,790,0.172,55.58
123,кислота,789,0.172,55.75
124,лист,782,0.171,55.92
125,коврик,773,0.169,56.09
126,метла,765,0.167,56.26
127,панель,762,0.166,56.42
128,игра,761,0.166,56.59
129,водонагреватель,752,0.164,56.75
130,растворитель,743,0.162,56.92
131,конверт,732,0.160,57.08
132,круг,729,0.159,57.24
133,стартер,726,0.159,57.39
134,плёнка,724,0.158,57.55
135,шпатлёвка,722,0.158,57.71
136,цемент,716,0.156,57.87
137,лейкопластырь,716,0.156,58.02
138,смесь,707,0.154,58.18
139,термометр,703,0.153,58.33
140,соль,700,0.153,58.48
141,нить,698,0.152,58.64
142,герб,691,0.151,58.79
143,сетка,674,0.147,58.93
144,генератор,672,0.147,59.08
145,ластик,665,0.145,59.23
146,ключ,663,0.145,59.37
147,плитка,661,0.144,59.52
148,амортизатор,660,0.144,59.66
149,плита,653,0.143,59.80
150,свеча,651,0.142,59.94
151,элемент,651,0.142,60.09
152,болт,648,0.141,60.23
153,халат,645,0.141,60.37
154,линолеум,638,0.139,60.51
155,диспенсер,638,0.139,60.65
156,паста,628,0.137,60.78
157,грабли,628,0.137,60.92
158,строительный,625,0.136,61.06
159,лоток,622,0.136,61.19
160,тонер,620,0.135,61.33
161,арматура,615,0.134,61.46
162,коммутатор,615,0.134,61.60
163,тройник,612,0.134,61.73
164,печение,606,0.132,61.86
165,огнетушитель,606,0.132,62.00
166,коробка,603,0.132,62.13
167,огурец,597,0.130,62.26
168,смесь строительный,596,0.130,62.39
169,стул,594,0.130,62.52
170,клавиатура,593,0.129,62.65
171,стандартный,593,0.129,62.78
172,вал,593,0.129,62.91
173,капуста,589,0.129,63.03
174,ёрш,577,0.126,63.16
175,календарь,575,0.126,63.29
176,парацетамол,574,0.125,63.41
177,чернила,571,0.125,63.54
178,рукав,569,0.124,63.66
179,сифон,568,0.124,63.78
180,аптечка,562,0.123,63.91
181,шуруп,560,0.122,64.03
182,урна,557,0.122,64.15
183,вата,555,0.121,64.27
184,рис,554,0.121,64.39
185,газонокосилка,554,0.121,64.51
186,сердцевина,553,0.121,64.63
187,мука,551,0.120,64.76
188,прочий,551,0.120,64.88
189,прокладка,549,0.120,65.00
190,масло трансмиссионный,549,0.120,65.12
191,кастрюля,546,0.119,65.23
192,лук,546,0.119,65.35
193,колонка,545,0.119,65.47
194,тарелка,545,0.119,65.59
195,горшок,543,0.119,65.71
196,сахар,541,0.118,65.83
197,датчик,541,0.118,65.95
198,опора,536,0.117,66.06
199,монтажный,533,0.116,66.18
200,хлор,525,0.115,66.29
201,задвижка,521,0.114,66.41
202,унитаз,518,0.113,66.52
203,яйцо,515,0.112,66.63
204,фонарь,514,0.112,66.75
205,холодильник,512,0.112,66.86
206,веб,510,0.111,66.97
207,морковь,510,0.111,67.08
208,чай,507,0.111,67.19
209,лак,507,0.111,67.30
210,адаптер,505,0.110,67.41
211,маска,504,0.110,67.52
212,профиль,502,0.110,67.63
213,стойка,499,0.109,67.74
214,органайзер,497,0.109,67.85
215,цилиндр,495,0.108,67.96
216,флаг,488,0.107,68.06
217,пылесос,485,0.106,68.17
218,дюбель,485,0.106,68.28
219,картофель,483,0.105,68.38
220,рассада,481,0.105,68.49
221,точилка,480,0.105,68.59
222,сыр,475,0.104,68.69
223,лампа накаливание,472,0.103,68.80
224,ковёр,463,0.101,68.90
225,клапан,448,0.098,69.00
226,натрий,440,0.096,69.09
227,шар,437,0.095,69.19
228,мел,435,0.095,69.28
229,подушка,434,0.095,69.38
230,спирт,430,0.094,69.47
231,перец,429,0.094,69.57
232,изолента,429,0.094,69.66
233,свёкла,425,0.093,69.75
234,видеокамера,425,0.093,69.85
235,яблоко,424,0.093,69.94
236,источник,422,0.092,70.03
237,бахилы,421,0.092,70.12
238,лампа автомобильный,419,0.091,70.21
239,государственный,418,0.091,70.30
240,электроутюг,409,0.089,70.39
241,перекись,408,0.089,70.48
242,горох,408,0.089,70.57
243,постельный,408,0.089,70.66
244,сок,400,0.087,70.75
245,фрукт,397,0.087,70.84
246,корзина,396,0.086,70.92
247,вилка,391,0.085,71.01
248,сапог,390,0.085,71.09
249,котёл,388,0.085,71.18
250,блокнот,387,0.085,71.26
251,весы,385,0.084,71.35
252,пила,384,0.084,71.43
253,сметана,380,0.083,71.51
254,гвоздь,379,0.083,71.59
255,среда,377,0.082,71.68
256,курица,375,0.082,71.76
257,фланец,368,0.080,71.84
258,телевизор,365,0.080,71.92
259,монитор,365,0.080,72.00
260,машина шлифовальный,359,0.078,72.08
261,хлеб,358,0.078,72.16
262,средство отбеливать,356,0.078,72.23
263,ботинок,356,0.078,72.31
264,плинтус,355,0.078,72.39
265,стремянка,349,0.076,72.46
266,говядина,348,0.076,72.54
267,вентилятор,348,0.076,72.62
268,конфета,347,0.076,72.69
269,хомут,346,0.076,72.77
270,колбаса,344,0.075,72.84
271,тонометр,343,0.075,72.92
272,крестовина,343,0.075,72.99
273,вентиль,342,0.075,73.07
274,пружина,341,0.074,73.14
275,песок,338,0.074,73.22
276,ацетилсалициловый,335,0.073,73.29
277,сумка,334,0.073,73.36
278,батарея,330,0.072,73.43
279,дрель,330,0.072,73.51
280,стекло,329,0.072,73.58
281,грунтовка,329,0.072,73.65
282,герметик,327,0.071,73.72
283,тест,326,0.071,73.79
284,тренажёр,322,0.070,73.86
285,уголок,321,0.070,73.93
286,помидор,319,0.070,74.00
287,смазка,318,0.069,74.07
288,творог,317,0.069,74.14
289,сверло,317,0.069,74.21
290,реле,315,0.069,74.28
291,аппарат телефонный,315,0.069,74.35
292,зеркало,313,0.068,74.42
293,часы,312,0.068,74.48
294,антистеплера,312,0.068,74.55
295,перфоратор,312,0.068,74.62
